Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTime,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency,InstrumentedLatency,GPUPower,GPUVoltage,GPUFrequency,GPUTemperature,GPUUtilization,3D/ComputeUtilization,MediaUtilization,GPUMemoryPower,GPUMemoryVoltage,GPUMemoryFrequency,GPUMemoryEffectiveFrequency,GPUMemoryTemperature,GPUMemorySize,GPUMemorySizeUsed,GPUMemoryMaxBandwidth,GPUMemoryReadBandwidth,GPUMemoryWriteBandwidth,GPUFanSpeed[0],GPUFanSpeed[1],GPUFanSpeed[2],GPUFanSpeed[3],GPUPowerLimited,GPUTemperatureLimited,GPUCurrentLimited,GPUVoltageLimited,GPUUtilizationLimited,GPUMemoryPowerLimited,GPUMemoryTemperatureLimited,GPUMemoryCurrentLimited,GPUMemoryVoltageLimited,GPUMemoryUtilizationLimited,CPUUtilization,CPUPower,CPUTemperature,CPUFrequency
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1042,NA,4.3513,0.0000,1.9125,4.9132,4.9132,NA,0.1051,5.2905,3.3780,1.9125,5.4436,2.8476,2.8476,0.0000,-1844674407370943.2500,530902.7931,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1093,NA,5.1583,13.4579,0.8882,5.1318,NA,NA,0.1103,4.1340,3.2458,0.8882,3.0007,5.3769,5.3769,0.0000,NA,NA,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1127,NA,3.3396,0.0000,1.7331,4.7335,4.7335,NA,0.1145,4.1845,2.4514,1.7331,4.2436,2.9413,2.9336,0.0077,-1844674407370946.0000,530912.2176,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1174,NA,4.7190,12.1577,0.8881,4.2209,NA,NA,0.1187,3.8740,2.9859,0.8881,3.0004,4.2064,4.1855,0.0209,NA,NA,NA,NA,NA,58.7050,NA,1800.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2262188032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.121,NA,3.6580,0.0000,0.9452,3.8238,3.8238,NA,0.1225,3.7151,2.7699,0.9452,3.3328,3.2609,3.2524,0.0085,-1844674407370946.7500,530920.2761,NA,NA,NA,58.0990,NA,1695.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2415628288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1256,NA,4.5446,21.0643,1.3781,3.9362,20.3435,NA,0.1263,4.9775,3.5994,1.3781,2.8786,4.6570,4.5541,0.1029,-17.3492,530923.9912,NA,NA,NA,58.0990,NA,1695.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2415628288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1306,NA,5.0200,6.9409,1.0714,4.4886,22.2644,NA,0.1312,4.7133,3.6419,1.0714,2.5581,5.5724,5.3213,0.2511,-1.9634,530928.9687,NA,NA,NA,58.0990,NA,1695.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2415628288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.139,NA,8.3680,6.9291,1.9963,6.3996,20.8255,NA,0.1359,9.2929,7.2966,1.9963,3.4172,10.2790,9.3491,0.9299,-2.2158,530933.6820,NA,NA,NA,58.0990,NA,1695.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2415628288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1465,NA,7.5166,7.0104,0.8677,5.4064,NA,NA,0.1452,6.3880,5.5203,0.8677,4.4033,6.5234,6.4628,0.0606,NA,NA,NA,NA,NA,58.0990,NA,1695.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2415628288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1504,NA,3.9569,0.0000,1.3768,4.6116,4.6116,NA,0.1516,4.4660,3.0892,1.3768,4.5387,3.1621,3.1597,0.0024,-1844674407370937.0000,530949.3629,NA,NA,NA,58.0990,NA,1695.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2415628288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1545,NA,4.0371,18.6745,0.9046,4.3800,19.2490,NA,0.1561,3.5649,2.6603,0.9046,3.2348,3.8055,3.7902,0.0153,-14.2085,530953.8289,NA,NA,NA,58.0990,NA,1695.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2415628288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1585,NA,3.9675,6.9346,1.1463,4.6720,NA,NA,0.1597,4.2092,3.0629,1.1463,3.4754,4.2595,4.2439,0.0156,NA,NA,NA,NA,NA,58.0990,NA,1695.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2415628288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.163,NA,4.5706,0.0000,1.3207,7.3611,7.3611,NA,0.1639,4.7450,3.4243,1.3207,3.5257,7.2597,7.2564,0.0033,-1844674407370940.7500,530961.6030,NA,NA,NA,58.0990,NA,1695.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2415628288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
r5apex_dx12.exe,18660,0x1F741139B80,DXGI,0,512,1,Hardware: Independent Flip,Application,0.1671,NA,4.1161,17.2068,3.0991,6.6597,20.4518,NA,0.1686,5.8945,2.7954,3.0991,6.0404,3.4147,3.0865,0.3282,-12.4618,530966.3480,NA,NA,NA,58.0990,NA,1695.0000,74.0000,93.0000,NA,16.0000,NA,NA,6201.0000,NA,NA,6442450944,2415628288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8721,NA,NA,3763.3357
